,ECM001,ECM002,ECM003,ECM005,ECM006,ECM007,ECM008,ECM009,ECM011,ECM012,ECM013,ECM015,ECM016,ECM017,ECM018,ECM019,ECM020,ECM021,ECM022,ECM023,ECM024,ECM025,ECM027,ECM028,ECM029,ECM030,ECM032,ECM033,ECM035,ECM036,ECM038,ECM039,ECM040,ECM041,ECM042,ECM043,ECM044,ECM045,ECM046,ECM047,ECM048,ECM049,ECM050,ECM051,ECM052,ECM053,ECM054,ECM055,ECM056,ECM057,ECM058,ECM059,ECM060,ECM061,ECM062,ECM063,ECM065,ECM066,ECM067,ECM068,ECM070,ECM071,ECM072,ECM073,ECM074,ECM075,ECM076,ECM077,ECM078,ECM080,ECM081,ECM082,ECM083,ECM084,ECM085,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genus,taxonomy,primary_lifestyle,Lifestyle,Secondary_lifestyle,Comment_on_lifestyle_template,Endophytic_interaction_capability_template,Plant_pathogenic_capacity_template,Decay_substrate_template,Decay_type_template,Aquatic_habitat_template,Animal_biotrophic_capacity_template,Specific_hosts,Growth_form_template,Fruitbody_type_template,Hymenium_type_template,Ectomycorrhiza_exploration_type_template,Ectomycorrhiza_lineage_template,primary_photobiont,secondary_photobiont
ASV_11,500,0,1253,0,0,0,0,432,1254,1979,951,977,538,1138,126,1459,23,1012,1588,417,544,938,564,0,0,483,1094,260,194,2032,219,62,972,488,537,556,507,0,0,83,216,546,1538,0,1312,1128,1050,1196,418,826,316,0,491,0,0,232,92,325,0,246,187,0,362,1629,271,0,0,219,1214,0,116,1031,0,764,389,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Trichosporonales,f__Trichosporonaceae,g__Apiotrichum,s__scarabaeorum,Apiotrichum,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Apiotrichum;s__scarabaeorum,soil_saprotroph,Saprotroph,0,0,0,0,soil,0,partly_aquatic,0,0,yeast,none,none,0,0,0,0
ASV_12,0,0,0,0,248,0,218,0,0,0,0,563,0,0,0,0,535,0,0,0,0,0,0,0,259,0,0,0,0,163,0,0,0,0,0,0,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,819,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,g__Preussia,s__flanaganii,Preussia,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Preussia;s__flanaganii,dung_saprotroph,Saprotroph,0,0,0,0,dung,0,partly_aquatic,0,0,filamentous_mycelium,"cleistothecium_(closed,_spherical)",closed,0,0,0,0
ASV_13,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,280,52,0,0,0,64,0,36,0,0,0,0,379,83,0,0,0,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,34,0,125,0,0,0,0,0,37,0,121,0,177,0,0,459,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Filobasidiales,f__Filobasidiaceae,g__Goffeauzyma,s__gastrica,Goffeauzyma,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Goffeauzyma;s__gastrica,soil_saprotroph,Saprotroph,litter_saprotroph,0,0,0,"leaf/fruit/seed,soil",0,non-aquatic,0,0,yeast,none,none,0,0,0,0
ASV_14,287,446,0,0,2705,0,0,273,1650,111,1560,0,0,0,0,578,0,159,614,88,0,0,0,528,0,0,279,875,302,2691,1088,0,0,1547,0,0,724,0,0,1063,780,0,0,0,1400,0,0,0,0,0,267,0,136,0,575,1279,97,0,630,0,0,434,0,0,0,0,0,433,0,425,461,155,339,1735,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,g__Preussia,s__flanaganii,Preussia,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Preussia;s__flanaganii,dung_saprotroph,Saprotroph,0,0,0,0,dung,0,partly_aquatic,0,0,filamentous_mycelium,"cleistothecium_(closed,_spherical)",closed,0,0,0,0
ASV_15,0,0,0,577,0,0,0,0,0,0,0,0,0,0,0,0,0,476,0,0,0,0,6501,0,0,356,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,974,0,0,0,0,0,7477,4938,2787,0,731,0,0,0,1570,962,0,0,0,0,0,0,0,443,0,443,1974,286,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,s__longistipitata,Inocybe,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__longistipitata,ectomycorrhizal,Ectomycorrhizal,0,0,0,0,0,0,non-aquatic,0,0,filamentous_mycelium,agaricoid,gills,short-distance_delicate,/inocybe,0,0
ASV_16,295,243,547,0,435,385,85,0,0,536,0,269,184,323,244,304,0,148,274,411,456,180,0,256,258,0,281,434,679,525,378,0,0,0,0,367,0,407,0,110,283,652,1528,1386,109,250,832,649,293,226,348,116,285,233,115,411,479,170,309,717,0,18,180,100,475,0,0,250,572,531,0,0,0,209,520,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Ganodermataceae,g__Ganoderma,s__applanatum,Ganoderma,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Ganodermataceae;g__Ganoderma;s__applanatum,plant_pathogen,Pathogen,wood_saprotroph,0,0,wood_pathogen,wood,white_rot,non-aquatic,0,0,filamentous_mycelium,polyporoid,poroid,0,0,0,0
ASV_17,0,0,0,0,0,0,0,0,0,0,0,742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4227,0,0,0,0,0,0,0,0,0,0,0,0,13020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,0,0,0,0,0,0,0,0,0,0,8838,0,0,4968,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybaceae_gen_Incertae_sedis,NA,Inocybaceae_gen_Incertae_sedis,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybaceae_gen_Incertae_sedis;s__NA,ectomycorrhizal,Ectomycorrhizal,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ASV_18,374,0,332,0,0,0,0,0,857,418,1564,354,0,0,442,0,497,357,907,586,220,1147,0,408,260,0,2205,0,0,0,1126,0,0,0,2186,0,2379,0,0,0,1148,0,0,0,279,0,649,766,0,0,285,162,429,143,0,58,0,272,427,243,266,837,742,346,741,0,399,0,447,670,0,0,0,382,0,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Mycoarthris,s__corallina,Mycoarthris,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Mycoarthris;s__corallina,litter_saprotroph,Saprotroph,0,0,0,0,leaf/fruit/seed,0,non-aquatic,0,0,filamentous_mycelium,none,none,0,0,0,0
ASV_19,143,0,576,289,725,0,114,0,443,142,0,226,392,0,0,699,213,292,855,705,225,0,0,0,0,0,0,0,167,0,0,842,857,688,0,753,0,0,0,83,400,695,0,792,215,589,1430,0,583,0,0,0,0,0,1429,162,397,0,0,2672,0,0,0,351,1329,543,374,0,0,0,0,0,53,74,257,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Clavicipitaceae,g__Metarhizium,s__anisopliae,Metarhizium,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__Metarhizium;s__anisopliae,animal_parasite,Other,animal_decomposer,0,0,0,animal_material,0,partly_aquatic,animal_parasite,0,filamentous_mycelium,0,0,0,0,0,0
ASV_20,464,0,0,670,1292,0,416,571,0,422,0,0,0,0,77,0,0,0,0,384,0,0,0,569,0,0,296,0,89,863,348,0,815,386,643,0,0,123,326,128,58,0,2521,496,71,50,0,0,0,0,149,528,0,745,691,478,0,147,0,0,0,21,0,765,666,0,297,0,382,579,1007,508,0,322,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Neonectria,s__candida,Neonectria,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Neonectria;s__candida,plant_pathogen,Pathogen,0,0,0,leaf/fruit/seed_pathogen,0,0,0,0,0,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,0,0,0,0
