Sample_ID,G,ID,Spp,Type,DBH,PointX,PointY,AG,BG,CBH,NAG,BX,AP,PO,PX,pH,dw,ppmC,ppmN,CppmC,CppmN,MBC,MBN,NH4,NO3,InorgN,pct_POM,MAOM_d13C,pct_MAOM_C,MAOM_d15N,pct_MAOM_N,MAOM_CN,POM_d13C,pct_POM_C,POM_d15N,pct_POM_N,POM_CN,bulk_d13C,bulk_pctC,bulk_d15N,bulk_pctN,bulk_CN,leaf_d15N,leaf_pctN,leaf_d13C,leaf_pctC,leaf_CN,Al-conc,Ca-conc,Fe-conc,K-conc,Mg-conc,Mn-conc,Na-conc,CEC,Pct_base_sat
ECM061,C,C07,CARLAC,Bulk,42.5,266.9,379.5,36.43565251,478.1036658,209.6465275,184.4328828,99.85384583,700.097834,0.534470551,0.505436833,6.48,0.625748503,30.08661342,8.000806973,422.9019474,49.56869241,392.815334,6.195461605,2.551170134,5.727607906,8.27877804,0.11800636,-25.95474431,0.915643552,5.984459851,1.01120086,11.46710156,-28.28141664,0.122396254,3.421779368,0.081086465,19.11571844,-26.57320718,8.71667715,5.357551651,0.688304121,12.66408024,1.339283652,1.27020679,-29.15922955,47.089229,37.10819699,-1.721947217,8907.825683,-1.791785249,268.133384,1413.786328,7.041638626,12.86625617,56.85354678,99.95491072
ECM062,T,T33,TILAME,Bulk,30.1,124.28,363.48,40.25090298,514.5743883,150.6899789,268.033717,94.16471461,723.9508882,0.469811566,0.466433817,6.51,0.578017664,21.41194462,9.232317661,373.9457229,56.52325997,352.5337783,6.122326164,8.607357177,5.40441616,14.01177334,0.083401714,-25.26144676,1.049804985,6.575063146,1.11737371,11.91497986,-27.45728318,0.161594588,3.672365466,0.101718839,20.14671096,-25.64239755,6.776327287,6.213521343,0.534329502,12.68200111,1.733478823,2.036740617,-29.86133075,45.67384517,22.42505932,15.42340268,8462.892172,0.200588024,121.3460938,1487.874955,0.778012311,13.86710012,55.02155186,99.68121894
ECM063,Q,Q09,QUEMAC,Bulk,99.9,255.4,337.3,41.79242924,519.5010256,178.7878789,265.433303,108.4864123,1094.881386,0.771424315,0.7485992,6.36,0.5995996,56.85552036,11.89596511,378.4631747,57.68941017,321.6076543,4.849493894,1.898315605,7.398219524,9.296535129,0.117037167,-25.93735144,0.849583143,5.392859918,0.894746332,12.71289629,-27.86449534,0.191228751,2.782762489,0.112073284,22.83438363,-26.17130926,8.153753788,4.913901719,0.608998808,13.38878431,0.933365793,0.900680343,-28.64350486,49.56029151,55.02583783,8.235246608,8739.413178,-0.346576336,155.048899,1349.973764,2.141736508,18.77847679,55.2982378,99.82031567
ECM065,C,C17,CARSPP,Bulk,36.8,194.97,354.23,36.11362988,552.9036068,231.032155,275.3233768,99.94599843,589.6123868,0.571660252,0.550272496,6.71,0.577,24.76913398,13.22108453,258.1328095,38.30910247,233.3636755,2.897576396,1.310846718,6.291801539,7.602648257,0.07356489,-25.61354742,1.015578901,6.633216619,1.030359483,12.27939377,-28.05173897,0.158215759,4.407423103,0.110776844,17.79319126,-25.93681662,6.791407505,6.216259218,0.545141182,12.45807091,1.952466877,1.386510849,-30.36066731,46.08596627,34.80952641,-1.512693121,9571.72884,-3.781398305,143.8092699,1665.210666,7.008904002,-40.42086546,61.86144991,99.95875349
ECM066,C,C04,CARLAC,Bulk,47.3,169.17,434.27,29.94905568,412.6332984,181.7241913,219.0016245,117.4824493,425.9593054,0.494116143,0.540889385,6.77,0.612,25.85247246,10.67703044,270.8463531,37.98449991,244.9938806,3.557590298,1.695816006,5.558136041,7.253952047,0.113527628,-25.64435124,0.922656105,6.102511046,1.08099422,12.45695329,-27.23288997,0.221796632,3.731512704,0.148941639,21.73643985,-26.26295986,9.09528323,5.711143273,0.623183305,14.59539115,2.204846552,1.420246074,-29.54776701,45.77608096,32.76814429,26.74751626,10040.25253,-3.233741695,143.5343279,1510.583845,4.218400767,-11.44809205,63.21365827,99.50524155
ECM067,Q,Q29,QUEMAC,Bulk,30,206.6,413.8,41.39064388,493.0826637,188.5998404,294.8695522,130.3726002,501.430827,0.446992371,0.462588736,6.57,0.612103175,39.56409114,11.07852382,386.726983,52.43217965,347.1628919,4.732776722,2.898274454,6.585197751,9.483472205,0.193168405,-26.00843325,0.90712739,5.573794286,0.99466667,13.87230999,-27.12554389,0.252653546,3.013453244,0.153718531,24.99533067,-26.31639441,10.49322824,4.873016741,0.689842022,15.21101977,1.083327803,1.272021056,-30.70409378,48.28512843,37.96437685,46.82394511,9565.504684,-3.569890857,148.2559798,1780.055862,0.873274996,9.701810949,63.32728238,99.17286652
ECM068,Q,Q02,QUEMAC,Bulk,125.7,187.9,302.4,26.41259001,415.3081708,141.5342771,248.6452554,90.14384407,881.0941616,0.50093996,0.49320556,6,0.587884806,32.42808146,8.1308446,367.3603212,47.68781343,334.9322397,5.865050407,2.570033716,5.433428388,8.003462104,0.048782183,-25.18229299,0.830725105,6.539324589,0.939992635,11.81699267,-27.91931034,0.166637827,3.058489048,0.090663149,25.73501568,-26.24963356,7.894886575,5.701235356,0.590448966,13.37099142,1.282527509,1.34951263,-28.07387131,48.7773713,36.14899579,14.41264799,4275.67163,-0.140228181,121.5047265,591.2666863,16.83383876,-0.822568768,26.73444329,99.17135681
ECM070,T,T19,TILAME,Bulk,38.5,221.18,358.82,29.60453532,471.9769551,190.0329945,166.3875785,90.57667874,570.3028408,0.643341725,0.615054732,6.62,0.574,39.75578366,13.6451434,383.6955422,57.79211267,343.9397585,4.235361328,2.525509552,9.469209271,11.99471882,0.128163911,-26.48275979,0.86663201,6.296478198,0.902958599,12.19454382,-28.07238587,0.238379951,4.381780847,0.197005637,15.36530161,-26.83343461,9.83954263,5.581980961,0.774416557,12.70573747,1.892333245,1.916894961,-29.36094513,44.00154671,22.95479744,7.759952392,8798.142418,-3.016416244,167.684367,1537.692597,4.760942079,-16.15119537,57.0908914,99.81851266
ECM071,Q,Q27,QUEMAC,Bulk,31.4,282.66,396.64,37.68891361,430.552625,147.7253258,198.0639667,100.7127623,465.952416,0.584892166,0.546424848,6.61,0.629960317,35.23167389,8.910699524,476.7661421,60.8773305,441.5344682,6.831936184,2.695937549,7.316755232,10.01269278,0.155976025,-25.90671734,1.013292373,5.774570022,1.085348948,12.06560455,-27.99359753,0.168743121,3.125923506,0.107373012,20.31199574,-26.19589672,8.576758131,5.377719373,0.663649386,12.92369975,0.984169104,1.485255456,-30.47127819,48.31054665,32.53931279,37.75614235,8383.451791,-1.084501018,150.3713982,1515.768865,0.831899396,4.550165252,55.13579551,99.23311485
ECM072,Q,Q28,QUEMAC,Bulk,30.8,231.91,397.21,24.80359163,388.4809127,139.6316859,165.4763797,83.10351574,494.1508908,0.640129112,0.618365791,6.78,0.73778664,30.4290561,8.8455968,315.0068629,44.0329312,284.5778068,4.977949164,1.596871725,5.220794607,6.817666332,0.09872706,-26.03706145,0.931201651,6.064623991,1.018823441,11.49740033,-28.64127125,0.105649254,3.645844156,0.066947006,19.84757247,-26.37553087,7.545750187,5.859486695,0.599864208,12.57910042,0.832510994,1.297158294,-28.57341135,50.60482191,39.02956309,7.747102631,10528.09659,0.227994118,109.7051511,1928.058177,0.227945362,15.39904724,68.83932347,99.87188655
ECM073,C,C27,CAROVA,Bulk,31.8,253.71,421.81,24.23257967,507.0310455,169.2709813,259.6907516,89.60597241,615.0150221,1.159835958,1.103779394,6.7,0.544455544,22.73349498,8.450792965,229.4878752,36.90217101,206.7543802,4.366711049,1.90090202,5.190654558,7.091556578,0.123054158,-25.01424695,0.953011103,6.283876164,1.004505792,11.90661871,-27.94632279,0.131366258,3.48614235,0.07490796,22.00694562,-25.13515422,5.308259065,6.616616924,0.42282198,12.554356,3.757356394,1.320986134,-30.60987691,46.21976162,34.99322241,28.83750348,7772.792309,-1.831870491,70.89637319,1154.183081,6.414798695,12.04400757,48.86352521,99.29602131
ECM074,T,T05,TILAME,Bulk,72.2,200.8,430.4,43.77385355,424.2911228,163.326244,185.3063403,109.5811799,614.4437254,0.461407866,0.444992159,6.6,0.677966102,21.16930472,6.622197236,292.0049062,41.16544623,270.8356015,6.216282113,1.922589509,4.034002698,5.956592207,0.116976456,-25.06602102,0.904959776,6.651564765,0.996419295,11.50054959,-27.75633816,0.124224117,3.572527664,0.083361754,18.85196764,-25.81819853,7.076785081,5.621833082,0.558861955,12.66269447,2.380811758,1.500131513,-29.56175624,42.29983935,28.19985266,17.19322949,8254.509672,1.347437205,70.21739705,1407.940343,-1.452232096,11.91042219,53.20763049,99.62711168
ECM075,Q,Q23,QUEMAC,Bulk,38.3,234.5,357.9,22.36909941,546.539,140.9483351,291.9698693,82.03849677,578.0967198,0.974992687,0.936718133,6.8,0.560878244,29.28291812,9.075587181,262.8843414,38.1343416,233.6014233,4.201859432,1.451299405,5.1203917,6.571691105,0.084794605,-26.41275667,1.255102078,6.406314698,1.322847959,12.22206942,-29.20770561,0.144543494,3.850614629,0.094276495,19.74461533,-26.94886486,6.443220013,6.035722208,0.500175323,12.88192372,1.514193109,1.316997298,-30.28473042,48.17424569,36.59317479,11.16873252,8369.083272,2.459535118,116.9405051,1287.063158,-1.101550696,19.80323737,52.87753733,99.74016455
ECM076,T,T21,TILAME,Bulk,37,232.86,398.86,57.60305375,468.7906857,164.5737522,192.2979592,114.637828,514.8024604,0.913866163,0.836239529,6.78,0.542914172,33.67204931,10.25119925,435.58561,59.54752574,401.9135607,5.808835073,2.271394903,7.063099328,9.334494231,0.14292682,-26.12267039,1.130168771,6.265593278,1.212282578,11.79844375,-28.41531553,0.151814044,3.691949529,0.099922093,19.22867639,-26.59763647,7.881222032,5.78268162,0.62273546,12.65353928,1.946649272,1.805411957,-29.2498037,44.55569805,24.78602629,11.24647481,8274.245056,2.458955326,213.2511136,1443.105797,2.826779909,4.831115583,53.8806628,99.7243043
ECM077,C,C20,CARLAC,Bulk,36.4,212.8,380,27.13429256,423.8443615,169.8475593,268.3199576,95.04728477,603.2304338,0.577017764,0.539636929,6.6,0.629,16.29303289,8.114075774,284.4110987,38.9967821,268.1180658,6.249191058,1.666342745,5.524989323,7.191332067,0.102506972,-25.70147183,0.88158552,6.928897515,0.945537931,11.85068307,-28.23353842,0.164099736,3.80641304,0.111262153,18.74474793,-26.26954798,8.455201239,5.991571863,0.665271919,12.7093885,1.511166204,1.214035856,-29.62925281,47.07640549,38.78174533,59.50285299,9243.720979,-3.708853236,119.6072611,1773.280678,2.741885877,8.610188289,61.73549767,98.91217056
ECM078,Q,Q18,QUEMAC,Bulk,50,218.43,394.23,46.30377314,658.202036,269.22553,371.5907144,135.189573,726.8144827,0.681144116,0.658931467,6.42,0.53777336,33.66192695,11.77599411,505.0880274,69.53954992,471.4261005,5.905195712,2.241573303,6.965126799,9.206700102,0.135781739,-26.23387216,0.943691388,6.328633794,1.054230721,11.66028349,-28.71218092,0.209855703,3.467410554,0.141406015,19.33326972,-26.87882933,9.571253513,5.802678387,0.734754307,13.02656388,0.978852704,1.387664861,-29.30102285,50.47935875,36.39201758,3.843600102,11845.68122,-2.49673592,180.8635743,1910.714514,9.11241161,46.47222277,75.5765849,99.89955973
ECM080,Q,Q24,QUEMAC,Bulk,35.6,213.39,390.99,32.96216342,573.1556697,206.0344644,171.3843078,148.5423737,743.9430777,1.493685202,1.444255104,6.79,0.482517483,49.12652837,13.60699136,446.6823933,61.50835723,397.5558649,4.520349547,3.655119909,2.830876285,6.485996194,0.168177459,-26.1105324,0.959306556,6.56406562,1.034480033,11.75006845,-28.84693905,0.196179818,3.505864568,0.133003318,18.67872409,-26.84080569,8.805539855,5.719891846,0.694949549,12.6711408,1.020607988,1.220108833,-29.30504546,50.02472958,41.00051694,-4.604379763,7580.243578,-1.050675761,119.1688401,1259.114918,5.442353686,51.28212771,48.73607881,99.95934693
ECM081,T,T08,TILAME,Bulk,54.6,292.86,355.04,39.28936645,560.4991466,181.9508302,222.140712,109.62021,718.0316874,0.50893242,0.487421173,6.79,0.602576809,23.23521883,10.25795339,396.9915004,60.02251024,373.7562816,5.851314386,1.585349617,7.272987981,8.858337598,0.116605032,-25.54191606,0.910902976,5.777527139,0.914869891,11.42637138,-27.83448211,0.12164208,2.848604399,0.126762507,11.4365951,-25.83961964,7.012980248,5.200771683,0.611089258,11.47776604,1.980846292,1.920503818,-30.48521557,43.95262793,22.94030877,-3.674136985,9684.299773,-5.184825109,149.7437593,1773.560939,1.723598028,43.74354038,63.50100883,99.99011874
ECM082,Q,Q12,QUEMAC,Bulk,83.7,215.16,417.14,44.73947726,545.2814849,155.2768944,201.9794537,139.8530946,796.0232291,0.518295773,0.491393012,6.55,0.567269076,44.83663135,12.47301476,464.9023468,68.70544531,420.0657155,5.508327107,2.904024154,9.363856848,12.267881,0.13000885,-26.76879043,0.910284538,6.238206735,0.979885906,11.913641,-29.08375774,0.178523374,3.441145034,0.125839984,18.19480911,-27.266981,9.140792994,5.288113022,0.712760345,12.82458804,1.124120092,1.348691514,-30.16294959,48.69895183,36.10829557,5.413325943,8356.053349,-3.347402357,87.77265059,1545.254563,5.396558584,19.96261309,54.80564203,99.8543303
ECM083,C,C10,CARLAC,Bulk,39.7,260.42,361.28,39.69636032,782.0748158,333.9779351,397.2743363,144.1375133,909.91129,0.746173058,0.719649221,6.36,0.557442557,54.94637296,13.57214587,558.4173099,80.37039316,503.4709369,5.921715986,3.855649299,9.459738383,13.31538768,0.149492234,-26.50381699,0.824389694,5.657118609,0.887732768,12.27712779,-28.13221283,0.220069765,3.437325365,0.163818148,17.76052618,-26.9087909,11.61357312,4.667977888,0.878450635,13.22055064,0.650161655,1.103103022,-31.05996798,46.36494095,42.03132746,4.088294459,11779.34027,-1.465112856,275.5023024,1413.87431,7.421027279,28.94472383,71.3195233,99.89838325
ECM084,Q,Q21,QUEMAC,Bulk,39.2,265.1,377,28.65643642,443.2765537,152.7460357,235.0466199,86.53766081,550.3074636,0.644601864,0.62370648,6.82,0.591816367,42.81442749,12.28172558,377.2205605,48.60808845,334.406133,3.957757249,1.473927311,5.562999714,7.036927025,0.103754327,-25.92795908,0.97800211,6.163290415,1.01271541,11.82609287,-28.52710566,0.133503942,3.418753779,0.091813218,17.80124375,-26.349971,7.532100983,5.667440686,0.615071111,12.24497439,-0.136675985,1.176605138,-28.27179619,49.55971541,42.14405027,5.739414706,8190.580767,-2.904116169,122.5063313,1131.484863,3.902041163,9.855048333,50.61813424,99.8458652
ECM085,T,T02,TILAME,Bulk,91.1,154.07,320.17,41.75039783,456.1846482,175.4752267,204.7093193,94.64861256,567.3912153,0.385223045,0.369724196,6.32,0.684315684,14.96321488,7.333413363,255.1648664,34.75704534,240.2016515,4.739545369,1.724726441,4.511437338,6.236163779,0.137962552,-25.14808606,1.011772149,6.655058383,1.063841576,11.17886175,-27.50329227,0.177279982,3.952372157,0.109946982,18.94833177,-25.87838643,5.937545992,6.230117789,0.505144045,11.75507088,1.709516557,2.072539913,-28.91378154,44.93901505,21.68539447,9.49809584,9113.144276,-3.41445996,149.3658208,1409.76877,1.742193918,-51.67461137,57.57166472,99.80554843
